question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,election_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,answer,candidate_name,candidate_party,pct,REGION
118753,64494,2020,Nevada,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,,1100,rv,rv,Online,U.S. President,0,,2/19/2020,2/21/2020,,,FALSE,,,FALSE,FALSE,2/21/2020 16:03,,https://projects.fivethirtyeight.com/polls/20200221_NV.pdf,general,Sanders,Bernard Sanders,DEM,51.9,west
118753,64494,2020,Nevada,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,,1100,rv,rv,Online,U.S. President,0,,2/19/2020,2/21/2020,,,FALSE,,,FALSE,FALSE,2/21/2020 16:03,,https://projects.fivethirtyeight.com/polls/20200221_NV.pdf,general,Trump,Donald Trump,REP,40.8,west
118754,64494,2020,Nevada,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,,1100,rv,rv,Online,U.S. President,0,,2/19/2020,2/21/2020,,,FALSE,,,FALSE,FALSE,2/21/2020 16:04,,https://projects.fivethirtyeight.com/polls/20200221_NV.pdf,general,Warren,Elizabeth Warren,DEM,47.5,west
118754,64494,2020,Nevada,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,,1100,rv,rv,Online,U.S. President,0,,2/19/2020,2/21/2020,,,FALSE,,,FALSE,FALSE,2/21/2020 16:04,,https://projects.fivethirtyeight.com/polls/20200221_NV.pdf,general,Trump,Donald Trump,REP,40.5,west
118755,64494,2020,Nevada,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,,1100,rv,rv,Online,U.S. President,0,,2/19/2020,2/21/2020,,,FALSE,,,FALSE,FALSE,2/21/2020 16:04,,https://projects.fivethirtyeight.com/polls/20200221_NV.pdf,general,Biden,Joseph R. Biden Jr.,DEM,43.7,west
118755,64494,2020,Nevada,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,,1100,rv,rv,Online,U.S. President,0,,2/19/2020,2/21/2020,,,FALSE,,,FALSE,FALSE,2/21/2020 16:04,,https://projects.fivethirtyeight.com/polls/20200221_NV.pdf,general,Trump,Donald Trump,REP,40.9,west
118756,64494,2020,Nevada,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,,1100,rv,rv,Online,U.S. President,0,,2/19/2020,2/21/2020,,,FALSE,,,FALSE,FALSE,2/21/2020 16:04,,https://projects.fivethirtyeight.com/polls/20200221_NV.pdf,general,Buttigieg,Pete Buttigieg,DEM,48.9,west
118756,64494,2020,Nevada,1528,AtlasIntel,,,AtlasIntel,546,AtlasIntel,,1100,rv,rv,Online,U.S. President,0,,2/19/2020,2/21/2020,,,FALSE,,,FALSE,FALSE,2/21/2020 16:04,,https://projects.fivethirtyeight.com/polls/20200221_NV.pdf,general,Trump,Donald Trump,REP,37.6,west
118365,64350,2020,,1102,Emerson College,,,Emerson College,88,Emerson College,A-,1250,rv,rv,IVR/Online,U.S. President,0,,2/16/2020,2/18/2020,,,FALSE,,,FALSE,FALSE,2/18/2020 21:04,,http://emersonpolling.com/2020/02/19/february-national-poll-sanders-takes-the-lead-for-democratic-nomination-bloomberg-on-the-rise/,general,Biden,Joseph R. Biden Jr.,DEM,48.2,no location
118365,64350,2020,,1102,Emerson College,,,Emerson College,88,Emerson College,A-,1250,rv,rv,IVR/Online,U.S. President,0,,2/16/2020,2/18/2020,,,FALSE,,,FALSE,FALSE,2/18/2020 21:04,,http://emersonpolling.com/2020/02/19/february-national-poll-sanders-takes-the-lead-for-democratic-nomination-bloomberg-on-the-rise/,general,Trump,Donald Trump,REP,51.8,no location
